"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","temp_psych"
"control","short","control","It's wrong and I can provide a valid reason.",1,1,2,"Female",36,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",5,1,1,"Male",33,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",5,2,2,"Male",25,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",2,3,3,"Female",33,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",6,6,6,"Male",33,"not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE,"control_short"
"control","short","control","There is nothing wrong.",3,3,4,"Female",23,"wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",5,5,6,"Female",34,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",2,3,3,"Male",31,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",0,3,3,"Male",55,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",3,1,1,"Female",35,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",5,3,4,"Male",27,"wrong","wrong","not wrong","not wrong","not wrong","not wrong",FALSE,TRUE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",2,2,3,"Female",33,"wrong","wrong","wrong","wrong","not wrong","wrong",FALSE,FALSE,FALSE,TRUE,TRUE,"control_short"
